age,gender,employment_type,city_tier,monthly_income,loan_amount,loan_tenure_months,interest_rate,loan_purpose,credit_score,num_existing_loans,num_delinquencies_12m,credit_utilization,ever_defaulted,dpd_max_12m,merchant_vintage_months,avg_monthly_gmv,payment_gateway_score,mobile_recharge_freq,upi_txn_count_3m,app_login_count_30d,emi_bounce_count,dti_ratio,high_risk_score,high_dti,repeat_defaulter,recent_dpd_flag,bounce_risk,emi_estimated,emi_to_income,income_per_lakh,is_merchant,gmv_per_vintage,credit_quality_score,default_flag,default_prob,credit_score_model,risk_band
40,0,2,0,25278,489727,36,21.1,3,550,2,0,0.6221412217177027,0,0,0,0,0,2,52,7,0,1.614406556166515,1,1,0,0,0,18475.6517034549,0.7308695638061197,0.25278,0,0.0,28.822979987780812,1,0.8181398641979312,471,Super High Risk
49,1,1,1,12411,254453,9,16.54,3,696,1,0,0.7862156961898576,0,0,53,52666,100,0,47,4,0,1.7083803308626062,0,1,0,0,0,30256.56039056278,2.437686141682467,0.12411,1,993.6981132075472,53.1657267160812,0,0.313348814154404,537,Super High Risk
62,1,2,1,57467,100259,9,24.47,6,665,2,0,0.280026861130171,0,0,0,0,0,2,45,5,0,0.14538380780028304,0,0,0,0,0,12306.246999959818,0.21414086100020566,0.57467,0,0.0,70.98121273288322,0,0.23956688570542067,548,Super High Risk
49,1,0,0,103338,125734,6,28.38,2,771,0,0,0.2323649446496904,0,60,0,0,0,0,50,12,1,0.10139282684497948,0,0,0,1,1,22724.048786818566,0.21989809062230684,1.03338,0,0.0,75.63881012976708,0,0.15964452852664135,562,Super High Risk
56,1,2,1,55666,326570,9,17.17,5,724,2,0,0.11376408601235462,1,0,0,0,0,2,45,12,2,0.4888743181178556,0,0,1,0,1,38930.64471274092,0.6993487113144398,0.55666,0,0.0,54.66695808208733,1,0.3996275862983463,526,Super High Risk
27,0,1,2,11331,14449,9,33.79,2,642,0,0,0.28968544147467207,1,30,42,44809,76,1,47,5,1,0.1062551476644311,0,0,1,1,1,1839.8378442994328,0.16235773423044766,0.11331,1,1066.8809523809523,68.8082303800447,1,0.6908599369776446,491,Super High Risk
28,1,2,0,23658,184473,12,38.9,5,860,0,2,0.14044885666882154,0,0,0,0,0,2,44,7,0,0.6497633036053932,0,1,0,0,0,18800.903287046025,0.794661789891628,0.23658,0,0.0,72.56028948344769,0,0.11015421383410767,575,Super High Risk
26,1,2,0,69400,485431,12,37.7,6,775,0,0,0.5117928525677659,1,30,0,0,0,0,38,9,1,0.5828818508859143,0,1,1,1,1,49180.73367048992,0.7086458937261699,0.694,0,0.0,66.45347409339283,1,0.5161509550801174,513,Super High Risk
54,2,1,1,7309,405396,6,29.06,3,790,0,1,0.1686654578471238,0,30,86,14159,89,2,54,11,0,2.0,0,1,0,1,0,73406.93371818581,10.041988196742246,0.07309,1,164.63953488372093,51.67777777777777,0,0.1646047842161458,561,Super High Risk
33,1,2,1,29349,145329,24,27.05,4,712,0,0,0.31416769529039607,0,0,0,0,0,2,42,5,0,0.4126320272572402,0,0,0,0,0,7906.708608786825,0.2693938197201644,0.29349,0,0.0,70.85847056596631,0,0.18313762051127808,558,Super High Risk
